Step,Value
18,-0.04120671
24,-0.087420493
40,-0.028544523
42,-0.100224301
45,-0.085947409
56,-0.086421259
71,-0.023378491
74,-0.193382874
94,-0.204540908
106,-0.137435436
126,-0.149037644
155,-0.181538194
158,-0.171089977
167,-0.043823615
183,-0.101120055
185,-0.106013015
229,-0.164495766
234,-0.169505909
249,-0.140757471
255,-0.163495809
260,-0.153473124
267,-0.181980237
273,-0.041420583
308,-0.151607841
310,-0.147407591
318,-0.182946801
339,-0.17657049
347,-0.117120154
367,-0.082058839
421,-0.051161557
422,-0.120403096
439,-0.032971341
442,-0.160563752
445,-0.112722822
460,-0.124081418
463,-0.060036272
464,-0.143820986
474,-0.121523544
493,-0.125064433
514,-0.056356266
531,-0.139400631
536,-0.116508417
563,-0.138969958
573,-0.113704257
579,-0.134144872
586,-0.201683998
587,-0.011999285
620,-0.154125929
622,-0.152711108
634,-0.098715864
641,-0.139308438
642,-0.149521679
644,-0.15429166
647,-0.050588157
649,-0.122090295
661,-0.125743717
671,-0.135284021
714,-0.067081861
722,-0.140309557
730,-0.166309878
739,-0.160581648
752,-0.075465158
756,-0.088878721
765,-0.143553242
769,-0.182647362
771,-0.110572271
773,-0.075843878
780,-0.111325257
785,-0.115328155
787,-0.175940976
792,-0.16571939
794,-0.142909557
798,-0.217973202
802,-0.092876479
808,-0.149702951
809,-0.131489635
832,-0.079418674
836,-0.158844233
869,-0.078983501
876,-0.139399588
882,-0.091008782
896,-0.182663649
900,-0.153372258
907,-0.172251374
909,-0.079887182
917,-0.164119646
931,-0.08969292
932,-0.09778396
942,-0.13441734
945,-0.148872331
954,-0.135024861
962,-0.082523234
971,-0.190132871
972,-0.083850242
978,-0.11966747
979,-0.047370873
984,-0.178742021
1002,-0.166184291
1005,-0.13571164
1014,-0.168641284
1044,-0.16834119
1057,-0.059463214
1063,-0.093317494
1066,-0.036012098
1068,-0.016412374
1072,-0.116319105
1078,-0.208700433
1083,-0.044622488
1093,-0.119285867
1099,-0.106184833
1104,-0.154858723
1114,-0.197510019
1156,-0.054241344
1160,-0.169181496
1161,-0.096388437
1162,-0.184201032
1180,-0.059996463
1193,-0.231919423
1206,-0.201676354
1232,-0.085164249
1244,-0.16469878
1255,-0.208512515
1258,-0.213094264
1261,-0.061668381
1281,-0.1134656
1287,-0.1257447
1294,-0.092565611
1300,-0.083335444
1316,-0.145521834
1319,-0.049384493
1330,-0.138887152
1333,-0.147980139
1336,-0.156701788
1337,-0.202499151
1385,-0.179770008
1388,-0.142493233
1391,-0.161350399
1392,-0.192059249
1414,-0.19033055
1426,-0.133545473
1436,-0.135495484
1440,-0.146539047
1465,-0.120735198
1466,-0.170546785
1477,-0.148836493
1485,-0.181668535
1489,-0.140424773
1491,-0.136573091
1523,-0.180049077
1527,-0.159543991
1552,-0.088044435
1568,-0.039390884
1569,-0.180099964
1584,-0.088807248
1588,-0.116141543
1604,-0.064930052
1605,-0.133346081
1627,-0.139491826
1632,-0.120631039
1637,-0.034419939
1640,-0.17354925
1645,-0.165156186
1648,-0.079673111
1660,-0.155032679
1668,-0.050105277
1675,-0.209606126
1682,-0.118291236
1691,-0.106861077
1695,-0.150810048
1697,-0.189099461
1699,-0.203334719
1702,-0.137056842
1709,-0.169667244
1718,-0.146481961
1728,-0.152072936
1732,-0.107497655
1734,-0.060599938
1737,-0.176069647
1742,-0.118708946
1745,-0.183206469
1746,-0.151471704
1766,-0.031508606
1775,-0.093413085
1781,-0.167002961
1788,-0.135728508
1789,-0.160412446
1798,-0.140240759
1805,-0.062718123
1826,-0.131497651
1830,-0.087776013
1840,-0.025802249
1844,-0.117850728
1853,-0.145142376
1866,-0.111111686
1869,-0.151997581
1875,-0.213397548
1877,-0.160465688
1911,-0.145148605
1917,-0.166698411
1934,-0.189553812
1944,-0.136125728
1947,-0.162497863
1949,-0.124485001
1967,-0.142008141
1981,-0.07550329
1983,-0.149292678
2001,-0.08897882
2005,-0.169583872
2013,-0.200167567
2030,-0.185806707
2036,-0.149648488
2060,-0.097462989
2073,-0.077557184
2076,-0.183803201
2077,-0.133886814
2079,-0.021448227
2081,-0.166259944
2085,-0.137139484
2089,-0.113623351
2096,-0.139078543
2111,-0.161594719
2145,-0.125751525
2149,-0.17871888
2156,-0.124413453
2165,-0.016157907
2177,-0.195391968
2187,-0.157239676
2189,-0.186758384
2191,-0.156495228
2196,-0.151050717
2199,-0.130931705
2207,-0.124622717
2211,-0.135015666
2231,-0.143474221
2236,-0.146393105
2237,-0.121981636
2239,-0.177247941
2242,-0.151564658
2246,-0.204758883
2247,-0.196173847
2254,-0.093580194
2257,-0.143721655
2262,-0.056415103
2281,-0.1805031
2291,-0.147395626
2297,-0.169843808
2303,-0.138094783
2307,-0.203464627
2319,-0.17198655
2320,-0.134933993
2345,-0.039244112
2354,-0.170204267
2389,-0.200216159
2390,-0.208703816
2392,-0.144726321
2436,-0.105239131
2444,-0.177708939
2451,-0.20732829
2453,-0.158024043
2455,-0.143294305
2460,-0.141953588
2485,-0.147125855
2486,-0.219222873
2496,-0.164244816
2498,-0.119648948
2503,-0.084828183
2517,-0.081699707
2523,-0.251316339
2532,-0.202039137
2547,-0.139243051
2551,-0.219122216
2553,-0.168978915
2578,-0.19896248
2590,-0.126207143
2600,-0.114984274
2606,-0.213216469
2623,-0.172925785
2629,-0.112720162
2630,-0.204316303
2644,-0.166644275
2650,-0.155239642
2655,-0.087410472
2678,-0.044187818
2685,-0.194748685
2690,-0.148161262
2703,-0.183391944
2710,-0.076381281
2725,-0.171264231
2737,-0.143355101
2740,-0.169513643
2754,-0.212977603
2789,-0.126586929
2790,-0.196525931
2791,-0.207262844
2809,-0.155528575
2824,-0.090506539
2872,-0.206254974
2881,-0.177333191
2890,-0.135671273
2896,-0.109103911
2917,-0.200456619
2919,-0.219848543
2920,-0.14893122
2967,-0.02408858
2975,-0.201574445
2998,-0.076935105
3007,-0.008385782
3011,-0.170050383
3015,-0.155894101
3027,-0.058514457
3030,-0.130047843
3038,-0.124662526
3041,-0.197267935
3065,-0.128774315
3069,-0.199825898
3071,-0.099660441
3099,-0.158424065
3122,-0.224166498
3137,-0.087120011
3145,-0.159911275
3150,-0.204883575
3155,-0.133140653
3161,-0.184337184
3177,-0.143366367
3195,-0.185265794
3196,-0.179556698
3203,-0.181279778
3206,-0.206157222
3230,-0.133779779
3233,-0.100451149
3240,-0.117835894
3243,-0.181467593
3244,-0.07406763
3246,-0.131087929
3247,-0.179900482
3272,-0.113597728
3281,-0.183813423
3305,-0.212710291
3313,-0.098575719
3327,-0.111439377
3328,-0.195669726
3345,-0.077417493
3374,-0.114712469
3376,-0.141443968
3386,-0.131103963
3403,-0.254007727
3408,-0.214388832
3430,-0.157800436
3438,-0.216869429
3449,-0.130692303
3451,-0.195023417
3458,-0.039742205
3464,-0.169701144
3471,-0.153690726
3477,-0.17320767
3480,-0.063687682
3497,-0.158334047
3509,-0.119138971
3512,-0.207182541
3519,-0.160614401
3535,-0.034209944
3537,-0.143391356
3543,-0.189301133
3547,-0.185590908
3563,-0.136722505
3580,-0.208872393
3600,-0.114866957
3618,-0.194344312
3620,-0.100341208
3622,-0.189229757
3625,-0.195830032
3628,-0.143792138
3645,-0.155248538
3656,-0.209526107
3670,-0.121875711
3700,-0.165759683
3702,-0.165352404
3726,-0.193582624
3730,-0.035440478
3732,-0.187132493
3738,-0.13815923
3741,-0.14850688
3743,-0.205411106
3752,-0.164271832
3759,-0.115181327
3772,-0.12909317
3780,-0.028424183
3793,-0.132418096
3795,-0.211289719
3798,-0.151816651
3814,-0.263752997
3819,-0.064725794
3821,-0.10775169
3831,-0.19165048
3835,-0.167555347
3864,-0.233886182
3869,-0.212863773
3876,-0.253826767
3920,-0.168244317
3928,-0.181308493
3935,-0.211535141
3939,-0.215429559
3950,-0.244048133
3956,-0.209035426
3962,-0.068411991
3984,-0.277605087
3995,-0.125277922
4000,-0.227287024
4009,-0.027885977
4010,-0.149249002
4022,-0.183046535
4033,-0.182700619
4036,-0.115324579
4046,-0.119823158
4093,-0.161135897
4098,-0.251045495
4099,-0.177289203
4109,-0.222431287
4182,-0.10234613
4193,-0.305982023
4194,-0.20816198
4196,-0.108705498
4198,-0.224887446
4201,-0.142653048
4202,-0.210973158
4227,-0.215170041
4232,-0.046705663
4235,-0.025150949
4243,-0.241358459
4254,-0.224381655
4263,-0.123143598
4266,-0.176687717
4267,-0.228121936
4282,-0.181083322
4298,-0.154907733
4304,-0.083701082
4308,-0.147196308
4317,-0.174405426
4319,-0.210513622
4328,-0.174910873
4332,-0.154632613
4343,-0.149423108
4369,-0.164312348
4378,-0.222787365
4393,-0.20198819
4400,-0.259446979
4406,-0.198065311
4410,-0.175371274
4411,-0.269858301
